"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.80356074603735,0.992,0.487,0,"B_cell","CD83"
0,3.5952303607909,0.564,0.061,0,"B_cell","LY86"
0,2.92547460855276,0.594,0.094,0,"B_cell","PALM2-AKAP2"
0,1.71094629689465,0.687,0.19,0,"B_cell","EIF2AK3"
0,2.34032954593222,0.584,0.093,0,"B_cell","PLCG2"
0,3.94790552158481,0.546,0.06,0,"B_cell","TSPAN13"
0,2.4781817570947,0.581,0.102,0,"B_cell","P2RX5"
0,2.68343165829455,0.563,0.084,0,"B_cell","CXCR5"
0,3.31054228466253,0.51,0.033,0,"B_cell","BLNK"
0,2.04672811908286,0.655,0.179,0,"B_cell","GGA2"
0,2.66774932035605,0.518,0.044,0,"B_cell","IGHD"
0,2.24013654807736,0.614,0.141,0,"B_cell","TPD52"
0,1.84876906015996,0.834,0.365,0,"B_cell","CMTM6"
0,2.09709312378506,0.608,0.139,0,"B_cell","SEL1L3"
0,1.65223681071059,0.702,0.238,0,"B_cell","PARP14"
0,2.96192392340482,0.5,0.04,0,"B_cell","CR2"
0,2.80140012996473,0.57,0.11,0,"B_cell","OTUD1"
0,3.17157300556126,0.518,0.059,0,"B_cell","SYK"
0,2.53987551864597,0.533,0.074,0,"B_cell","CIITA"
0,2.91279055083628,0.493,0.034,0,"B_cell","PAX5"
0,2.13773327835951,0.499,0.049,0,"B_cell","FCRL5"
0,2.60058445841566,0.578,0.129,0,"B_cell","CYB561A3"
0,2.4636605367297,0.498,0.054,0,"B_cell","BCL11A"
0,2.67840081357015,0.534,0.096,0,"B_cell","SEMA7A"
0,3.76701159701139,0.476,0.038,0,"B_cell","HLA-DOB"
0,2.27894819785379,0.619,0.181,0,"B_cell","PLPP5"
0,3.28061057413457,0.477,0.044,0,"B_cell","STAP1"
0,3.76876599096319,0.473,0.041,0,"B_cell","BTK"
0,1.72462851230413,0.84,0.425,0,"B_cell","POLD4"
0,1.53374191999457,0.855,0.441,0,"B_cell","SNX3"
0,1.14263405472557,0.954,0.669,0,"B_cell","ARPC3"
0,1.297471791485,0.992,0.77,0,"B_cell","CYBA"
0,1.78469670839535,0.993,0.784,0,"B_cell","LAPTM5"
0,2.01289223200374,0.996,0.804,0,"B_cell","CD37"
0,2.84170171151327,0.999,0.878,0,"B_cell","CD74"
3.71654727394633e-305,3.1421568795249,0.494,0.069,8.08088873774151e-301,"B_cell","GNG7"
4.05922415898848e-300,2.44799067351981,0.485,0.055,8.82597108888866e-296,"B_cell","PLEKHG1"
9.43145324827083e-300,3.2538866697991,0.476,0.053,2.05068087977153e-295,"B_cell","PIK3AP1"
1.81221973495819e-298,2.49923603201413,0.488,0.06,3.94030936971958e-294,"B_cell","COL19A1"
4.69403528411768e-285,2.08264212347802,0.6,0.176,1.02062409182571e-280,"B_cell","DRAM2"
4.50516649645978e-283,3.59324211847377,0.459,0.06,9.79558351325249e-279,"B_cell","PKIG"
6.12978232112248e-277,2.86505187018564,0.441,0.042,1.33279857008166e-272,"B_cell","WDFY4"
8.17657902949009e-276,3.09563620870411,0.438,0.044,1.77783357838203e-271,"B_cell","COBLL1"
3.25410555678047e-274,2.05544693774207,0.578,0.156,7.07540171210777e-270,"B_cell","CHPT1"
2.3845772243488e-272,1.73458982058596,0.626,0.206,5.18478625890159e-268,"B_cell","KDM4B"
4.06800574643101e-270,1.85773400539722,0.582,0.157,8.84506489446495e-266,"B_cell","POU2F2"
1.18822635049805e-268,1.91938264986849,0.541,0.113,2.5835605538879e-264,"B_cell","CTSH"
2.0201305171037e-267,1.25013624748805,0.862,0.557,4.39236978333857e-263,"B_cell","GRASP"
2.50887911744022e-265,2.5043374559407,0.505,0.114,5.45505586505027e-261,"B_cell","STX7"
5.94632585265179e-265,1.37897409503839,0.811,0.435,1.29290963014208e-260,"B_cell","NFKBID"
3.97095828138109e-263,4.15029866166397,0.386,0.016,8.6340545912069e-259,"B_cell","LINC01857"
2.40265963682778e-260,2.61909118104081,0.442,0.055,5.22410284835464e-256,"B_cell","FGD2"
3.6809949408989e-259,2.03182044816084,0.558,0.164,8.00358729999649e-255,"B_cell","AP1B1"
7.98460065403027e-258,1.51743417886092,0.59,0.179,1.7360917202058e-253,"B_cell","SNX29"
7.36511290805334e-254,2.06179755053132,0.53,0.131,1.60139649959804e-249,"B_cell","STRBP"
6.97685142728016e-253,1.69473151049667,0.571,0.168,1.51697680583353e-248,"B_cell","PIKFYVE"
1.83748328393153e-252,2.09497358596,0.535,0.117,3.99523990425232e-248,"B_cell","MARCKS"
1.2865093168332e-251,1.71916671799357,0.55,0.134,2.79725720759042e-247,"B_cell","TSPAN3"
2.43473063684912e-248,2.35064185275401,0.498,0.116,5.29383482370104e-244,"B_cell","UNC93B1"
2.65366436596811e-246,1.33820946256483,0.755,0.396,5.76986243092446e-242,"B_cell","ANXA6"
1.98646833217886e-245,1.5188340845851,0.48,0.072,4.31917809465649e-241,"B_cell","SPI1"
4.3009243027157e-244,1.46353268933763,0.683,0.273,9.35149971139476e-240,"B_cell","RAB11FIP1"
1.35436918693262e-237,1.05080073153542,0.91,0.675,2.94480492314759e-233,"B_cell","UBALD2"
5.95373199902166e-235,1.93882773549585,0.605,0.229,1.29451994854728e-230,"B_cell","PEA15"
1.99731687636384e-234,1.24755743252612,0.794,0.466,4.3427660842779e-230,"B_cell","GDI2"
4.37682265832446e-234,1.75531112072566,0.581,0.189,9.51652550599487e-230,"B_cell","SH3BP5"
1.0413477938759e-231,1.08237899160104,0.871,0.575,2.26420250822436e-227,"B_cell","FCMR"
2.34598696516201e-230,1.26347795753151,0.853,0.574,5.10087945835175e-226,"B_cell","HERPUD1"
4.63150431003781e-223,1.696059654561,0.541,0.164,1.00702798213152e-218,"B_cell","RRAS2"
5.37614672874782e-221,2.55791663872159,0.384,0.043,1.16893558323164e-216,"B_cell","ALOX5"
1.51045013868266e-219,2.25718239578728,0.496,0.13,3.28417173653771e-215,"B_cell","FAM3C"
4.6613716016487e-217,1.69720905446389,0.509,0.143,1.01352202734648e-212,"B_cell","MGAT5"
6.51250036846794e-217,1.28844990423599,0.698,0.308,1.41601295511598e-212,"B_cell","TENT5C"
